query,doc,rel
where is the andromeda galaxy,6193,5
where is the andromeda galaxy,281,4
where is the andromeda galaxy,6213,3
where is the andromeda galaxy,4532,1
where is the andromeda galaxy,341,3
where is the andromeda galaxy,515,1
where is the andromeda galaxy,3357,2
where is the andromeda galaxy,512,4
where is the andromeda galaxy,3663,2
where is the andromeda galaxy,459,1
where is the andromeda galaxy,5327,3
where is the andromeda galaxy,229,3
where is the andromeda galaxy,460,2
where is the andromeda galaxy,2676,1
where is the andromeda galaxy,496,4
where is the andromeda galaxy,2177,2
where is the andromeda galaxy,5339,1
where is the andromeda galaxy,4115,1
where is the andromeda galaxy,466,4
where is the andromeda galaxy,6038,4
where is the andromeda galaxy,2329,1
where is the andromeda galaxy,3206,1
where is the andromeda galaxy,2320,1
where is the andromeda galaxy,2424,1
where is the andromeda galaxy,2334,1
where is the andromeda galaxy,5388,1
where is the andromeda galaxy,2270,1
where is the andromeda galaxy,2012,3
where is the andromeda galaxy,3350,1
where is the andromeda galaxy,684,3
where is the andromeda galaxy,634,3
where is the andromeda galaxy,4499,1
where is the andromeda galaxy,4729,1
where is the andromeda galaxy,4552,1
where is the andromeda galaxy,644,3
where is the andromeda galaxy,3950,1
where is the andromeda galaxy,6688,1
where is the andromeda galaxy,6735,1
where is the andromeda galaxy,6736,1
where is the andromeda galaxy,624,3
where is the andromeda galaxy,2998,1
where is the andromeda galaxy,6741,1
where is the andromeda galaxy,2605,1
where is the andromeda galaxy,522,3
where is the andromeda galaxy,5012,1
where is the andromeda galaxy,623,3
where is the andromeda galaxy,2614,1
where is the andromeda galaxy,3929,1
where is the andromeda galaxy,2219,2
where is the andromeda galaxy,2981,1
show me the nearest star to the north star,6777,
show me the nearest star to the north star,2138,
show me the nearest star to the north star,5463,
show me the nearest star to the north star,2985,
show me the nearest star to the north star,848,
show me the nearest star to the north star,783,
show me the nearest star to the north star,3651,
show me the nearest star to the north star,2792,
show me the nearest star to the north star,1199,
show me the nearest star to the north star,3024,
show me the nearest star to the north star,5916,
show me the nearest star to the north star,2949,
show me the nearest star to the north star,1287,
show me the nearest star to the north star,895,
show me the nearest star to the north star,4498,
show me the nearest star to the north star,3824,
show me the nearest star to the north star,857,
show me the nearest star to the north star,2193,
show me the nearest star to the north star,1505,
show me the nearest star to the north star,1213,
show me the nearest star to the north star,244,
show me the nearest star to the north star,641,
show me the nearest star to the north star,3699,
show me the nearest star to the north star,105,
show me the nearest star to the north star,3019,
show me the nearest star to the north star,3369,
show me the nearest star to the north star,4041,
show me the nearest star to the north star,5344,
show me the nearest star to the north star,3020,
show me the nearest star to the north star,4874,
show me the nearest star to the north star,2784,
show me the nearest star to the north star,6193,
show me the nearest star to the north star,2338,
show me the nearest star to the north star,2323,
show me the nearest star to the north star,469,
show me the nearest star to the north star,553,
show me the nearest star to the north star,922,
show me the nearest star to the north star,202,
show me the nearest star to the north star,3121,
show me the nearest star to the north star,3753,
show me the nearest star to the north star,902,
show me the nearest star to the north star,5416,
show me the nearest star to the north star,3098,
show me the nearest star to the north star,1744,
show me the nearest star to the north star,1136,
show me the nearest star to the north star,209,
show me the nearest star to the north star,830,
show me the nearest star to the north star,1676,
show me the nearest star to the north star,3080,
show me the nearest star to the north star,283,
where is the nearest star,5463,4
where is the nearest star,2138,2
where is the nearest star,4498,2
where is the nearest star,895,1
where is the nearest star,3824,1
where is the nearest star,2674,2
where is the nearest star,6193,4
where is the nearest star,553,2
where is the nearest star,2531,3
where is the nearest star,6860,4
where is the nearest star,202,2
where is the nearest star,3121,1
where is the nearest star,2949,2
where is the nearest star,3699,1
where is the nearest star,1275,4
where is the nearest star,469,2
where is the nearest star,236,1
where is the nearest star,3006,1
where is the nearest star,209,1
where is the nearest star,2950,1
where is the nearest star,3753,1
where is the nearest star,3369,1
where is the nearest star,3131,5
where is the nearest star,3024,1
where is the nearest star,244,1
where is the nearest star,3026,1
where is the nearest star,4241,1
where is the nearest star,3098,2
where is the nearest star,105,3
where is the nearest star,6861,4
where is the nearest star,2338,2
where is the nearest star,4874,3
where is the nearest star,305,2
where is the nearest star,1596,2
where is the nearest star,5344,1
where is the nearest star,6378,1
where is the nearest star,902,4
where is the nearest star,3019,1
where is the nearest star,3974,2
where is the nearest star,1937,4
where is the nearest star,6777,3
where is the nearest star,1676,4
where is the nearest star,6464,5
where is the nearest star,283,4
where is the nearest star,3036,1
where is the nearest star,5313,2
where is the nearest star,2790,4
where is the nearest star,2225,2
where is the nearest star,3490,1
where is the nearest star,3385,1
what is the closest star to the north star,5485,
what is the closest star to the north star,1950,
what is the closest star to the north star,5845,
what is the closest star to the north star,3864,
what is the closest star to the north star,6814,
what is the closest star to the north star,2677,
what is the closest star to the north star,1964,
what is the closest star to the north star,1943,
what is the closest star to the north star,5954,
what is the closest star to the north star,3133,
what is the closest star to the north star,3080,
what is the closest star to the north star,3131,
what is the closest star to the north star,256,
what is the closest star to the north star,5720,
what is the closest star to the north star,6573,
what is the closest star to the north star,3089,
what is the closest star to the north star,1957,
what is the closest star to the north star,6249,
what is the closest star to the north star,2038,
what is the closest star to the north star,786,
what is the closest star to the north star,2012,
what is the closest star to the north star,1287,
what is the closest star to the north star,5262,
what is the closest star to the north star,3152,
what is the closest star to the north star,1665,
what is the closest star to the north star,684,
what is the closest star to the north star,4874,
what is the closest star to the north star,4425,
what is the closest star to the north star,4065,
what is the closest star to the north star,1275,
what is the closest star to the north star,641,
what is the closest star to the north star,2067,
what is the closest star to the north star,4552,
what is the closest star to the north star,3024,
what is the closest star to the north star,1213,
what is the closest star to the north star,5158,
what is the closest star to the north star,3001,
what is the closest star to the north star,2748,
what is the closest star to the north star,2476,
what is the closest star to the north star,2191,
what is the closest star to the north star,883,
what is the closest star to the north star,9,
what is the closest star to the north star,4041,
what is the closest star to the north star,2982,
what is the closest star to the north star,6519,
what is the closest star to the north star,5748,
what is the closest star to the north star,3951,
what is the closest star to the north star,2058,
what is the closest star to the north star,3034,
what is the closest star to the north star,4639,
show galaxies visible from the northern hemisphere,1635,
show galaxies visible from the northern hemisphere,133,
show galaxies visible from the northern hemisphere,1069,
show galaxies visible from the northern hemisphere,845,
show galaxies visible from the northern hemisphere,1415,
show galaxies visible from the northern hemisphere,5591,
show galaxies visible from the northern hemisphere,1070,
show galaxies visible from the northern hemisphere,834,
show galaxies visible from the northern hemisphere,935,
show galaxies visible from the northern hemisphere,1642,
show galaxies visible from the northern hemisphere,1233,
show galaxies visible from the northern hemisphere,682,
show galaxies visible from the northern hemisphere,3575,
show galaxies visible from the northern hemisphere,2074,
show galaxies visible from the northern hemisphere,1802,
show galaxies visible from the northern hemisphere,1482,
show galaxies visible from the northern hemisphere,936,
show galaxies visible from the northern hemisphere,6559,
show galaxies visible from the northern hemisphere,838,
show galaxies visible from the northern hemisphere,6835,
show galaxies visible from the northern hemisphere,5388,
show galaxies visible from the northern hemisphere,4877,
show galaxies visible from the northern hemisphere,5383,
show galaxies visible from the northern hemisphere,4992,
show galaxies visible from the northern hemisphere,2571,
show galaxies visible from the northern hemisphere,1968,
show galaxies visible from the northern hemisphere,572,
show galaxies visible from the northern hemisphere,1199,
show galaxies visible from the northern hemisphere,5212,
show galaxies visible from the northern hemisphere,1294,
show galaxies visible from the northern hemisphere,757,
show galaxies visible from the northern hemisphere,911,
show galaxies visible from the northern hemisphere,6065,
show galaxies visible from the northern hemisphere,1000,
show galaxies visible from the northern hemisphere,4428,
show galaxies visible from the northern hemisphere,3918,
show galaxies visible from the northern hemisphere,1008,
show galaxies visible from the northern hemisphere,1423,
show galaxies visible from the northern hemisphere,2965,
show galaxies visible from the northern hemisphere,827,
show galaxies visible from the northern hemisphere,6688,
show galaxies visible from the northern hemisphere,6735,
show galaxies visible from the northern hemisphere,6736,
show galaxies visible from the northern hemisphere,1526,
show galaxies visible from the northern hemisphere,2712,
show galaxies visible from the northern hemisphere,456,
show galaxies visible from the northern hemisphere,2792,
show galaxies visible from the northern hemisphere,1790,
show galaxies visible from the northern hemisphere,2676,
show galaxies visible from the northern hemisphere,1349,
visible galaxies,5201,
visible galaxies,1462,
visible galaxies,1133,
visible galaxies,4710,
visible galaxies,1337,
visible galaxies,105,
visible galaxies,1423,
visible galaxies,1341,
visible galaxies,5627,
visible galaxies,6746,
visible galaxies,5327,
visible galaxies,1222,
visible galaxies,5212,
visible galaxies,2030,
visible galaxies,1521,
visible galaxies,1857,
visible galaxies,5388,
visible galaxies,4071,
visible galaxies,5070,
visible galaxies,454,
visible galaxies,2287,
visible galaxies,5626,
visible galaxies,3089,
visible galaxies,2295,
visible galaxies,440,
visible galaxies,6835,
visible galaxies,5383,
visible galaxies,4992,
visible galaxies,2571,
visible galaxies,460,
visible galaxies,2806,
visible galaxies,1489,
visible galaxies,4065,
visible galaxies,2599,
visible galaxies,5012,
visible galaxies,1442,
visible galaxies,209,
visible galaxies,234,
visible galaxies,2442,
visible galaxies,2788,
visible galaxies,5833,
visible galaxies,4145,
visible galaxies,6180,
visible galaxies,4258,
visible galaxies,6688,
visible galaxies,6735,
visible galaxies,6736,
visible galaxies,3171,
visible galaxies,2155,
visible galaxies,4152,
the brightest star,1445,1
the brightest star,5463,5
the brightest star,5219,1
the brightest star,3338,1
the brightest star,1031,1
the brightest star,4194,1
the brightest star,5600,1
the brightest star,1370,1
the brightest star,1503,1
the brightest star,786,5
the brightest star,1022,3
the brightest star,1493,2
the brightest star,4588,1
the brightest star,2102,1
the brightest star,1985,2
the brightest star,432,2
the brightest star,154,1
the brightest star,3402,2
the brightest star,4795,1
the brightest star,1068,2
the brightest star,6322,1
the brightest star,5224,2
the brightest star,6058,1
the brightest star,1050,2
the brightest star,764,2
the brightest star,4023,2
the brightest star,1547,2
the brightest star,4517,1
the brightest star,3744,2
the brightest star,4437,1
the brightest star,445,2
the brightest star,1263,1
the brightest star,853,2
the brightest star,4346,1
the brightest star,11657,5
the brightest star,1891,4
the brightest star,2971,1
the brightest star,6062,1
the brightest star,668,2
the brightest star,249,1
the brightest star,2503,4
the brightest star,95,4
the brightest star,845,3
the brightest star,5131,1
the brightest star,1013,2
the brightest star,2130,3
the brightest star,789,1
the brightest star,3470,1
the brightest star,1980,1
the brightest star,3864,1
stars closest to the andromeda galaxy,6213,
stars closest to the andromeda galaxy,6193,4
stars closest to the andromeda galaxy,281,
stars closest to the andromeda galaxy,3893,
stars closest to the andromeda galaxy,2012,
stars closest to the andromeda galaxy,4532,
stars closest to the andromeda galaxy,3131,
stars closest to the andromeda galaxy,512,
stars closest to the andromeda galaxy,515,
stars closest to the andromeda galaxy,1665,
stars closest to the andromeda galaxy,341,
stars closest to the andromeda galaxy,305,
stars closest to the andromeda galaxy,5664,
stars closest to the andromeda galaxy,1275,
stars closest to the andromeda galaxy,1648,
stars closest to the andromeda galaxy,3357,
stars closest to the andromeda galaxy,3566,
stars closest to the andromeda galaxy,1289,
stars closest to the andromeda galaxy,3663,
stars closest to the andromeda galaxy,2917,
stars closest to the andromeda galaxy,459,
stars closest to the andromeda galaxy,3503,
stars closest to the andromeda galaxy,5485,
stars closest to the andromeda galaxy,5158,
stars closest to the andromeda galaxy,5327,
stars closest to the andromeda galaxy,3133,
stars closest to the andromeda galaxy,3139,
stars closest to the andromeda galaxy,4115,
stars closest to the andromeda galaxy,1894,
stars closest to the andromeda galaxy,3152,
stars closest to the andromeda galaxy,2007,
stars closest to the andromeda galaxy,4388,
stars closest to the andromeda galaxy,1950,
stars closest to the andromeda galaxy,2058,
stars closest to the andromeda galaxy,2177,
stars closest to the andromeda galaxy,6573,
stars closest to the andromeda galaxy,3864,
stars closest to the andromeda galaxy,460,
stars closest to the andromeda galaxy,5954,
stars closest to the andromeda galaxy,1946,
stars closest to the andromeda galaxy,3126,
stars closest to the andromeda galaxy,1964,
stars closest to the andromeda galaxy,2618,
stars closest to the andromeda galaxy,3021,
stars closest to the andromeda galaxy,786,
stars closest to the andromeda galaxy,2982,
stars closest to the andromeda galaxy,1943,
stars closest to the andromeda galaxy,3699,
stars closest to the andromeda galaxy,3845,
stars closest to the andromeda galaxy,3462,
easiest to see galaxy,6603,
easiest to see galaxy,2589,
easiest to see galaxy,6777,
easiest to see galaxy,3490,
easiest to see galaxy,4572,
easiest to see galaxy,3385,
easiest to see galaxy,2436,
easiest to see galaxy,3974,
easiest to see galaxy,4940,
easiest to see galaxy,6378,
easiest to see galaxy,3784,
easiest to see galaxy,4437,
easiest to see galaxy,4528,
easiest to see galaxy,4451,
easiest to see galaxy,3870,
easiest to see galaxy,3194,
easiest to see galaxy,156,
easiest to see galaxy,4499,
easiest to see galaxy,639,
easiest to see galaxy,105,
easiest to see galaxy,3098,
easiest to see galaxy,4582,
easiest to see galaxy,624,
easiest to see galaxy,4501,
easiest to see galaxy,5313,
easiest to see galaxy,3155,
easiest to see galaxy,2934,
easiest to see galaxy,3950,
easiest to see galaxy,5720,
easiest to see galaxy,1053,
easiest to see galaxy,4504,
easiest to see galaxy,517,
easiest to see galaxy,2496,
easiest to see galaxy,4242,
easiest to see galaxy,2320,
easiest to see galaxy,4166,
easiest to see galaxy,2224,
easiest to see galaxy,2329,
easiest to see galaxy,6773,
easiest to see galaxy,3486,
easiest to see galaxy,1330,
easiest to see galaxy,6069,
easiest to see galaxy,209,
easiest to see galaxy,736,
easiest to see galaxy,2225,
easiest to see galaxy,2334,
easiest to see galaxy,2270,
easiest to see galaxy,5665,
easiest to see galaxy,2713,
easiest to see galaxy,4074,
nebula,3015,
nebula,5942,
nebula,3800,
nebula,3102,
nebula,2143,
nebula,3024,
nebula,3799,
nebula,1053,
nebula,2362,
nebula,5342,
nebula,4559,
nebula,728,
nebula,3026,
nebula,3020,
nebula,3036,
nebula,6248,
nebula,4765,
nebula,3019,
nebula,3593,
nebula,3604,
nebula,2956,
nebula,4204,
nebula,3517,
nebula,6663,
nebula,2806,
nebula,3029,
nebula,791,
nebula,3279,
nebula,5807,
nebula,788,
nebula,2327,
nebula,3025,
nebula,3507,
nebula,1083,
nebula,248,
nebula,3022,
nebula,6193,
nebula,4170,
nebula,2695,
nebula,3035,
nebula,2802,
nebula,2542,
nebula,2147,
nebula,256,
nebula,252,
nebula,391,
nebula,3965,
nebula,6757,
nebula,2859,
nebula,2552,
largest galaxy,2998,
largest galaxy,3350,
largest galaxy,3893,
largest galaxy,845,
largest galaxy,2534,
largest galaxy,2514,
largest galaxy,2524,
largest galaxy,2602,
largest galaxy,2535,
largest galaxy,2449,
largest galaxy,2515,
largest galaxy,2604,
largest galaxy,2537,
largest galaxy,4360,
largest galaxy,2337,
largest galaxy,2462,
largest galaxy,3206,
largest galaxy,4500,
largest galaxy,624,
largest galaxy,2614,
largest galaxy,3992,
largest galaxy,3692,
largest galaxy,3021,
largest galaxy,4499,
largest galaxy,2453,
largest galaxy,2394,
largest galaxy,5848,
largest galaxy,2981,
largest galaxy,2586,
largest galaxy,467,
largest galaxy,3131,
largest galaxy,4659,
largest galaxy,466,
largest galaxy,3950,
largest galaxy,2536,
largest galaxy,2520,
largest galaxy,1069,
largest galaxy,3530,
largest galaxy,3810,
largest galaxy,517,
largest galaxy,634,
largest galaxy,2424,
largest galaxy,4729,
largest galaxy,4731,
largest galaxy,682,
largest galaxy,999,
largest galaxy,2888,
largest galaxy,6688,
largest galaxy,6735,
largest galaxy,6736,
brightest object,2504,
brightest object,1445,
brightest object,5817,
brightest object,6177,
brightest object,1540,
brightest object,1860,
brightest object,5637,
brightest object,4760,
brightest object,4857,
brightest object,3447,
brightest object,2778,
brightest object,1994,
brightest object,712,
brightest object,3874,
brightest object,4436,
brightest object,5562,
brightest object,595,
brightest object,793,
brightest object,1370,
brightest object,1503,
brightest object,1022,
brightest object,1493,
brightest object,5600,
brightest object,1104,
brightest object,2503,
brightest object,2130,
brightest object,4588,
brightest object,119,
brightest object,154,
brightest object,4797,
brightest object,5219,
brightest object,3338,
brightest object,3402,
brightest object,1031,
brightest object,4194,
brightest object,5463,
brightest object,1068,
brightest object,6322,
brightest object,5224,
brightest object,6058,
brightest object,1050,
brightest object,764,
brightest object,1547,
brightest object,1417,
brightest object,3394,
brightest object,1813,
brightest object,1263,
brightest object,432,
brightest object,4346,
brightest object,853,
binary stars,12314,5
binary stars,2858,4
binary stars,11901,5
binary stars,10025,4
binary stars,10360,4
binary stars,10270,5
binary stars,3006,5
binary stars,11899,3
binary stars,894,5
binary stars,1746,2
binary stars,4207,3
binary stars,3930,3
binary stars,382,3
binary stars,6210,5
binary stars,587,3
binary stars,3070,4
binary stars,6383,5
binary stars,2019,4
binary stars,1992,4
binary stars,3006,5
binary stars,3930,3
binary stars,4586,3
binary stars,1176,4
binary stars,6329,4
binary stars,4257,4
binary stars,7093,3
binary stars,11450,4
binary stars,11865,2
binary stars,10485,5
binary stars,10093,4
binary stars,1176,4
binary stars,11937,4
binary stars,3815,4
binary stars,8535,4
binary stars,6329,4
binary stars,4482,4
binary stars,3276,4
binary stars,3500,4
binary stars,5434,4
binary stars,4584,4
binary stars,438,4
binary stars,950,4
binary stars,1767,4
binary stars,3448,4
binary stars,2138,4
binary stars,249,4
binary stars,955,4
binary stars,2392,4
binary stars,553,4
binary stars,181,4
galaxies,5212,
galaxies,1857,
galaxies,5388,
galaxies,6835,
galaxies,5383,
galaxies,4992,
galaxies,2571,
galaxies,5012,
galaxies,6688,
galaxies,6735,
galaxies,6736,
galaxies,2114,
galaxies,6043,
galaxies,6035,
galaxies,6289,
galaxies,3352,
galaxies,845,
galaxies,4528,
galaxies,105,
galaxies,6038,
galaxies,2934,
galaxies,6193,
galaxies,841,
galaxies,4933,
galaxies,6133,
galaxies,3170,
galaxies,517,
galaxies,5262,
galaxies,2177,
galaxies,1973,
galaxies,5327,
galaxies,1874,
galaxies,229,
galaxies,302,
galaxies,6314,
galaxies,6010,
galaxies,3350,
galaxies,6104,
galaxies,3322,
galaxies,2508,
galaxies,496,
galaxies,6746,
galaxies,3118,
galaxies,3955,
galaxies,5056,
galaxies,6559,
galaxies,3349,
galaxies,1133,
galaxies,5201,
galaxies,1940,
stars nearest to the earth,2138,
stars nearest to the earth,3699,
stars nearest to the earth,895,
stars nearest to the earth,3666,
stars nearest to the earth,3651,
stars nearest to the earth,3185,
stars nearest to the earth,1676,
stars nearest to the earth,831,
stars nearest to the earth,6860,
stars nearest to the earth,3369,
stars nearest to the earth,4301,
stars nearest to the earth,6464,
stars nearest to the earth,915,
stars nearest to the earth,5463,
stars nearest to the earth,1199,
stars nearest to the earth,2338,
stars nearest to the earth,305,
stars nearest to the earth,1433,
stars nearest to the earth,868,
stars nearest to the earth,553,
